sleeper_player_id,match_method,source_website,week,player_first_name,player_last_name,position,team,projected_points,created_at
BUF,dst_team_match,fantasypros.com,Week 11,Buffalo Bills,Defense,DST,BUF,6.2,2025-11-20 18:03:39
10219,automatic,firstdown.studio,Week 11,Chris,Rodriguez,RB,WAS,6.2,2025-11-20 18:03:39
7670,automatic,firstdown.studio,Week 11,Joshua,Palmer,WR,BUF,6.2,2025-11-20 18:03:39
12502,automatic,sleeper.com,Week 12,Gunnar,Helm,TE,TEN,6.2,2025-11-20 18:03:39
11600,automatic,sleeper.com,Week 12,Ja'Tavion,Sanders,TE,CAR,6.2,2025-11-20 18:03:39
6528,automatic,sleeper.com,Week 12,Joey,Slye,K,TEN,6.2,2025-11-20 18:03:39
7607,automatic,fantasypros.com,Week 12,Michael,Carter,RB,ARI,6.2,2025-11-20 18:03:39
11377,automatic,fantasypros.com,Week 12,Tyrell,Shavers,WR,BUF,6.2,2025-11-20 18:03:39
11834,automatic,fantasypros.com,Week 12,Devaughn,Vele,WR,NO,6.2,2025-11-20 18:03:39
8932,automatic,fantasypros.com,Week 12,Lucas,Havrisik,K,GB,6.2,2025-11-20 18:03:39
SF,dst_team_match,fantasypros.com,Week 12,San Francisco 49ers,Defense,DST,SF,6.2,2025-11-20 18:03:39
,,fantasypros.com,Week 11,Harrison,Mevis,K,LAR,6.2,2025-11-20 18:03:39
1426,automatic,fanduel.com,Week 12,DeAndre,Hopkins,WR,BAL,6.15,2025-11-20 18:03:39
4351,automatic,fanduel.com,Week 11,Tim,Patrick,WR,JAX,6.14,2025-11-20 18:03:39
11435,automatic,fanduel.com,Week 11,Emanuel,Wilson,RB,GB,6.13,2025-11-20 18:03:39
4082,automatic,fanduel.com,Week 12,Curtis,Samuel,WR,BUF,6.12,2025-11-20 18:03:39
4219,automatic,sleeper.com,Week 10,Jeremy,McNichols,RB,WAS,6.1,2025-11-20 18:03:39
